id,paragraph_id,speaker,paragraph_text,Media1,Media2,Media3
9166,9166,DonaldTrump,he was on the cover of a magazine i will not mention the cover mention the magazine he was on the cover he said i was born to run for president anybody that that is when he was doing well,0,1,0
25230,25230,JoeBiden,try i mean rand excuse me they try to ukraine got us in a war in iran people got hurt in iraq folks i mean this is something like something out of alice in wonderland one commentator called in and,0,1,0
31948,31948,JoeBiden,tomorrow is election day november 3 stay with us to learn who the voters select and which parties will control congress coverage of election night starts 9 00 p.m eastern and continues through the washington journal at 7 00 a.m,0,1,1
54225,54225,JoeBiden,public health experts continuing to spread deadly misinformation about the virus and holding rallies that fly in the face of north carolina's covid 19 guidelines president trump isn't focused on caring for working families in north carolina who cannot make,0,1,1
34338,34338,KamalaHarris,doing a lot of interviews as you can imagine and people say what do you think is going to happen the day after the election i said look here is what i truly believe we have taken a battering there,0,1,1
34111,34111,KamalaHarris,today and let's remind everybody to vote early today and sunday november 1 are going to have an impact with people you never meet people who will never hear your names because you voted with your voice and the power,1,0,0
53795,53795,JoeBiden,if the revelations in today's atlantic article are true then they are yet another marker of how deeply president trump and i disagree about the role of the president of the united states i have long said that as a,0,1,1
62421,62421,MikePence,bed has ever been denied an icu bed we've sped medicines to the marketplace including last week from a great indiana company that are literally saving lives every day and you all saw the news pfizer and very soon another,1,0,1
60823,60823,MikePence,freest economies in the world with strong independent legal institutions and a lively free press and it's home to hundreds of thousands of foreign residents hong kong is a living example of what can happen when china embraces liberty and,0,1,1
58324,58324,MikePence,"stand before you today i know you already heard about it in the news this morning but it's amazing to think 5.8 million new jobs since election day 263,000 jobs in the month of april alone and the lowest unemployment",1,0,1
37084,37084,MikePence,bit time on and these 2 big boys came walking by both wearing budweiser shirts man after my own heart and they did one of them stopped and looked at me because a local newspaper it said that we were,0,1,1
28134,28134,JoeBiden,i want to mention how when kamala harris was attorney general of california she arrested a reporter who was investigating planned parenthood and she charged him with 15 felonies he's been in the courts fighting this for years for example,0,1,1
61173,61173,MikePence,time off and these two big boys came walking by both wearing budweiser shirts men after my own heart laughter and they did one of them stopped and looked at me because the local newspaper had said that we were,0,1,1
58458,58458,MikePence,begin let me reflect on some welcome news last fall we made clear to aung san suu kyi of burma that the arrest and jailing of two journalists was deeply troubling to millions of americans and we urged their release,0,1,1
33588,33588,KamalaHarris,thinks about climate change all we hear is the word hoax a biden harris administration will meet the climate crisis protect the health of the american public and along the way we will deliver one word jobs good paying jobs,0,1,1
35045,35045,KamalaHarris,it up he told the american people it was a hoax and here's the thing can you imagine what you would have done and how you would have planned as a parent as a small business owner as a teacher,0,1,1
33478,33478,KamalaHarris,the beating of rodney king we're part of a movement that started a long time ago and this movement will not be deterred music so the special washington post live which is a live reporting of my podcast i'm john,1,0,1
61808,61808,MikePence,long ago where we had heartbreaking news today is a new beginning for lordstown and it's a new day of leadership in electric vehicles in the united states applause it really is great to be with all of you and,0,1,0
34516,34516,KamalaHarris,the president of the united states said it was a hoax and then most recently just in the last couple of days at the gall to say we're rounding the corner on it but phoenix can you imagine what you,1,0,1